Model Name,hy-mt2-1.8b
IP Address/Port,74.2.96.26:32232
Parameters,"temperature=0.7,top_p=0.6,top_k=20,max_tokens=4096,repetition_penalty=1.05"

Input,Expected Output,Actual Output,Time Taken (s)
お気づきかどうかわかりませんが、中米からこの国に入って来る商品のほとんどは無税でした。,我不知道你有没有意识到，从中美洲进口到这个国家的大部分货物都是免关税的。,"I'm not sure if you've noticed it, but most goods entering this country from Central America were duty-free.",0.2523
しかし、こちらの商品の80%は中米諸国で関税をかけられていました。,然而，我们百分之八十的商品在中美洲国家被征收关税。……我们对待你。,"However, 80% of these products were subject to tariffs in Central American countries.",0.2335
意味があるように思えませんでしたし、確かに不公平でした。,我觉得这毫无道理；显然不公平。,"It didn’t seem to make sense, and it was indeed unfair.",0.2836
申し上げておきたいのは、私たちが皆さんを扱うように私たちを扱って欲しいということだけです。,我对人们说的是：我们怎么对待你，你就怎么对待我们。,What I would like to say is simply that we hope to be treated in the same way as you all are treated.,0.2652
カリフォルニア州のアーノルド・シュワルツェネッガー知事は、暴力的なビデオゲームを未成年者に販売やレンタルすることを禁止する法案に署名しました。,加利福尼亚州长阿诺德·施瓦辛格签署了一项法案，禁止向未成年人出售或出租暴力电子游戏。,"The Governor of California, Arnold Schwarzenegger, signed a bill banning the sale or rental of violent video games to minors.",0.2606
法案では、カリフォルニア州で販売する暴力的なビデオゲームに「18歳」というラベルを貼ることを義務付け、1回の違反（未成年者への販売）につき1000ドルの罰金が科されます。,该法案规定在加州销售的暴力电子游戏必须贴上“18”的标签，销售商每违法销售给未成年人一次就会被处以 1000 美元的罚款。,"The bill requires that violent video games sold in California be labeled “18 years old,” and a fine of $1,000 will be imposed for each violation (selling to minors).",0.3045
公訴局長官のキアー・スターマー王室顧問弁護士は今朝、ハーン氏とプライス氏の両氏を起訴するという声明を発表しました。,总检察长兼王室法律顾问凯尔·斯塔莫 (Kier Starmer) 今天上午发表声明，宣布对胡纳和普莱斯提起公诉。,"Kier Starmer, Director of the Prosecution Office and Royal Counsel, issued a statement this morning stating that both Mr. Hane and Mr. Price will be charged with crimes.",0.3157
フーネ氏は辞任し、内閣ではエド・デイビー下院議員がその後任となる予定です。デイビー氏の退任で空席となる事業所管大臣の席にはノーマン・ラム下院議員が就くと予想されます。,胡纳已经辞职，他在内阁中的位置将由国会议员埃德·戴维 (Ed Davey) 接替。预计国会议员诺曼·兰姆 (Norman Lamb) 将接替戴维空出的商务部长一职。,"Mr. Fune has resigned, and Ed Debbie, a member of the House of Representatives, is expected to take his place in the cabinet. It is anticipated that Norman Ram, a member of the House of Representatives, will fill the vacancy for the Minister of Industry following Debbie’s departure.",0.4155
フーネ氏とプライス氏は2月16日にウェストミンスター治安判事裁判所に出廷する予定です。,胡纳和普赖斯将于 2 月 16 日在威斯敏斯特治安法院出庭。,Mr. Fune and Mr. Price are scheduled to appear before the Westminster Magistracy on February 16.,0.2636
死亡したのは、ニコラス・オールデンさん（25歳）と運転手を務めるザカリー・カッドバックさん（21歳）でした。,遇难者分别是 25 岁的尼古拉斯·奥尔登 (Nicholas Alden) 和 21 岁的扎卡里·卡德巴克 (Zachary Cuddeback)。当时驾车的是卡德巴克。,"The deceased were Nicholas Olden (25 years old) and Zacary Caddback (21 years old), who was the driver.",0.2855
エドガー・ベギラさんは腕と顎を負傷し、クリストファー・シュナイダーさんは顔の再建手術が必要なほどの重症を負いました。,埃德加·贝吉利亚 (Edgar Veguilla) 的手臂和下巴受伤，而克里斯托弗· 施耐德 (Kristoffer Schneider) 则需要做脸部重建手术。,"Edgar Begila suffered injuries to his arm and jaw, while Christopher Schneider required a major facial reconstruction surgery.",0.2539
ウカの武器は5人目の男の頭に向けられて失敗した。シュナイダーには痛みがあり、片目は失明し、頭蓋骨の一部が欠損し、顔はチタンで再建されている。,乌卡 (Uka) 的武器在指着第五个人的头时失灵了。施耐德（Schneider）疼痛不已，一只眼睛失明，一块头骨缺失，利用钛板才重塑了脸部。,"Uka's weapon was aimed at the fifth man's head, but it failed. Schneider suffered pain, lost one eye, a part of his skull was damaged, and his face has been rebuilt with titanium.",0.3203
シュナイダーは母国の米空軍基地からビデオリンクで証言しました。,施耐德 (Schneider) 在其祖国的美国空军 (USAF) 基地通过视频连线进行作证。,Schneider testified via video link from his home country’s US Air Force base.,0.2389
水曜日のイベントの後、カルパネドは選手権で2つの個人レースに出場しました。,除了周三的比赛，卡帕内多（Carpanedo）还参加了锦标赛的两项个人竞赛。,"After the Wednesday event, Karpaneh participated in two individual races in the championship.",0.2356
最初のレースはスラロームでしたが、彼女は最初の滑走でリタイア（Did Not Finish）となりました。このレースでは116人の選手のうち36人が同じ結果となりました。,她的第一个项目是障碍滑雪，并在第一回合以“未完成”的成绩结束比赛。该比赛 116 名参赛者中有 36 人取得了相同的成绩。,"The first race was a slalom, but she did not finish on her first run. In this race, 36 out of 116 participants achieved the same result.",0.2931
もう1つのレースであるジャイアント・スラロームでは、総合タイムが4分41秒30で、1位のオーストリアのクラウディア・ローシュより2分11秒60遅れ、9位のハンガリーのギョンギ・ダニより1分09秒02遅れの4分41秒30で、女子シッティンググループの10位でフィニッシュしました。,她的另一项比赛是大回转，在女子站姿组中以 4:41.30 分钟的总成绩名列第十，比排名第一的奥地利选手克劳迪娅·罗什慢了 2:11.60 分钟，比排名第九的匈牙利选手巩基·达尼慢了 1:09.02 分钟。,"In another race, the Giant Slalom, the overall time was 4 minutes 41.30 seconds. She finished 2 minutes 11.60 seconds behind the first-place Austrian athlete Claudia Roth and 1 minute 9.02 seconds behind the 9th-place Hungarian athlete Gyongyi Dani, at 4 minutes 41.30 seconds. She ended 10th in the women’s sitting group.",0.4762
女子シッティンググループでは4人のスキーヤーが滑走を終えられず、ジャイアントスラロームでは全117人中45人がランクインできなかった。,女子坐式组的四名滑雪选手未能完赛，大回转项目（Giant Slalom）的 117 名选手中有 45 人未能挤进榜单。,"In the women's skiing group, four skiers failed to complete their runs, and in Giant Slalom, 45 out of 117 participants did not make the top 10.",0.314
マディヤ・プラデシュ州警察は、盗まれたノートパソコンと携帯電話を回収しました。,中央邦警方追回了被盗的笔记本电脑和手机。,The Madhya Pradesh State Police recovered the stolen laptop and mobile phone.,0.2276
警察副監察官のD・K・アーヤ氏は、「スイス人女性を強姦した5人を逮捕し、彼女の携帯電話とノートパソコンを回収した」と述べました。,副总警监埃利亚（D K Arya）称：“我们逮捕了 5 名强奸这位瑞士妇女的人，并找到了她的手机和笔记本电脑。”,"Police Deputy Inspector D·K·Araya said, “Five people who raped a Swiss woman were arrested, and their mobile phones and laptops were seized.”",0.2863
被告人たちの氏名は、ババ・カンジャール、ブータ・カンジャール、ランプロ・カンジャール、ガザ・カンジャール、ヴィシュヌ・カンジャールです。,被告的姓名分别是 Baba Kanjar、Bhutha Kanjar、Rampro Kanjar、Gaza Kanjar 和 Vishnu Kanjar。,"The names of the defendants are Baba Kanjur, Buta Kanjur, Lampro Kanjur, Gaza Kanjur, and Vishnu Kanjur.",0.3145
警察のチャンドラ・シェカール・ソランキ総監によれば、被告人は顔を隠して法廷に出頭したそうです。,警察局长钱德拉·谢卡尔·索兰基说，被告人出庭时都蒙住了脸。,"According to Police Chief Chandra Shekhar Solanki, the defendant appeared in court with his face covered.",0.2477
車の衝突時には３人が家の中にいましたが、怪我人はいませんでした。,虽然车撞到房子时，房子里面有三个人，但最后并没有人受伤。,"During the car collision, three people were inside the house, but no one was injured.",0.2423
しかし、運転手は頭部に重傷を負いました。,然而，司机的头部受到了重创。,"However, the driver suffered severe injuries to his head.",0.2146
衝突事故が起きた道路は、救急隊が赤いアウディTTから運転手を救助するまで一時通行止めになりました。,事故发生的道路暂时封闭，紧急救援人员将司机从红色奥迪 TT 中救了出来。,The road where the collision occurred was closed temporarily until emergency teams rescued the driver from the red Audi TT.,0.2458
当初、彼はグレート・ヤーマスにあるジェームズ・パジェット病院に入院していました。,起初，他被送往位于大雅茅斯的詹姆斯·佩吉特医院进行救治。,"Initially, he was hospitalized at James Paget Hospital in Great Yarmouth.",0.2267
後に彼はケンブリッジのアデンブルック病院に転院しました。,他随后被转送到剑桥的阿登布鲁克医院。,"Later, he was transferred to Adenbrook Hospital in Cambridge.",0.2153
アデコヤ氏はその後、息子の殺害容疑でエディンバラ保安官裁判所に出頭しています。,此后，阿德克雅被控谋杀她的儿子，于爱丁堡治安法庭受审。,Mr. Adecoya has subsequently appeared before the Edinburgh Magistrates’ Court on charges of his son’s murder.,0.2715
彼女は起訴と公判まで身柄を勾留されていますが、本人の写真が広く公開されているため、目撃者の証拠が損なわれる可能性があります。,她被拘留，等待起诉和审判；但是任何目击者的证据都可能受到负面影响，因为她的形象已被广泛发布。,"She has been detained until prosecution and trial, but since her photo is widely published, witness evidence may be compromised.",0.2559
これは英国内の他の地域で一般的に行われていることですが、スコットランドの司法制度は異なっており、裁判所は写真の公開を潜在的に悪影響のあるものと見なしています。,这在英国的其他地方是常见做法，但苏格兰的司法制度有所不同，法院认为公布照片可能会造成潜在的危害。,"This is a practice common in other regions of England, but Scotland’s judicial system is different; courts consider the release of photos to be potentially harmful.",0.2783
ダンディー大学のパメラ・ファーガソン教授は、「容疑者の写真などを公開する報道記者は危い橋を渡っている」と指摘しています。,邓迪大学（University of Dundee）的 Pamela Ferguson 教授指出：“记者如果公布嫌疑人的照片等信息的话，似乎确实存在危害性。”,"Professor Pamela Fergason of Dandee University noted, “Journalists who publish photos of the suspect are crossing a dangerous bridge.”",0.2708
起訴を全面的に担当する王座裁判所刑事部は、記者団に対して、少なくとも起訴されるまではこれ以上のコメントはしないとの意向を示しています。,起诉的主要负责部门皇家检控署向记者表示，至少在提起公诉之前将不会再发表进一步言论。,"The Criminal Division of the Court of Appeal, which is fully responsible for the prosecution, has indicated its intention not to make any further comments to the press team until at least the charges are filed.",0.3109
漏れ聞いた情報によれば、当該文書は国境紛争に言及するもので、パレスチナの希望は1967年の中東戦争前の国境に基づくものです。,据透露，这份文件将提及边界争端，巴勒斯坦希望以1967年中东战争前的边界为基础。,"According to the leaked information, the document mentions border disputes, and Palestine’s aspirations are based on the borders before the 1967 Middle East war.",0.2839
ほかにも両国にとって神聖な存在であるエルサレムの未来国家やヨルダン渓谷の問題が扱われていると報じられています。,据报道，讨论的其他议题包括对两国来说都神圣的耶路撒冷的未来状态和约旦河谷问题。,"It is reported that issues such as Jerusalem, which is also a sacred place for both countries, and the Jordan Valley problem are also being discussed.",0.2791
イスラエルは、この協定が結ばれれば10年間にわたる峡谷での駐留継続を要求するとしていますが、その一方でパレスチナ自治政府が同意している駐在期間は5年間のみです。,以色列要求协议签订后，在山谷中部署十年的军事力量，而巴勒斯坦民族权力机构只同意保留五年。,"Israel claims that if this agreement is reached, it will demand continued presence in the canyon for 10 years. However, on the other hand, the Palestinian self-governing government agrees to a stay period of only 5 years.",0.3375
補助的な有害生物駆除試験は、監視されその効果が評価されるので、この試験に参加する射撃手はレンジャーによる厳しい監視を受けました。,护林员会密切监督参加虫害防治补充试验的射手，因为试验会受到监测，并会评估其效果。,"Auxiliary harmful organism eradication tests are monitored and their effectiveness is evaluated; therefore, shooters participating in these tests were under strict supervision by Rangers.",0.2766
NPWSとオーストラリアのスポーツ射撃協会（NSW）の提携により、スポーツ射撃協会の狩猟プログラムで有資格ボランティアが募集されました。,在国家公园野生动物管理局（NPWS）和澳大利亚射击运动员协会（NSW）的合作中，射击运动员协会为狩猎计划招募了合格的志愿者。,"Through a partnership between NPWS and Australia’s Sports Shooting Association (NSW), qualified volunteers have been recruited for the hunting program of the Sports Shooting Association.",0.2959
NPWSと協力する公園保全・遺産局長代行ミック・オフリン氏によると、最初の射撃作戦に選ばれた4人の射撃手は、総合的な安全・訓練の指導を受けたそうです。,澳大利亚新州国家公园和野生动物服务中心（NPWS）保护和遗产管理处代理主任米克·奥弗林（Mick O’flynn）表示：选中参与第一次射击行动的四名枪手均已接受全面的安全及培训指导。,"According to Mr. Mike Offlin, Acting Director of Park Preservation and Heritage, who works with NPWS, the four shooters selected for the first shooting operation received comprehensive safety and training guidance.",0.3072
昨日、マルテリーは9人のメンバーで構成される新しい臨時選挙管理委員会会（CEP）で宣誓しました。,昨天，马尔泰利在由 9 名成员组成的新临时选举委员会 (CEP)中宣誓就职。,"Yesterday, Martelly took the oath before the new temporary election management committee (CEP) consisting of 9 members.",0.2585
マルテリーにとっては4年間で5度目のCEPです。,这是马特利 (Martelly) 四年来第五次入选海地临时选举委员会 (CEP)。,"For Martelly, it is the fifth CEP in four years.",0.223
先月、大統領委員会は、新たな選挙に向けて国を動かすための措置の一環として、前任の欧州委員会の辞任を勧告した。,上个月，总统委员会建议前任 CEP 辞职，这是推动国家走向新选举措施的一部分。,"Last month, the President’s Committee recommended that the previous European Commission resign as part of measures to move the country toward new elections.",0.2679
この委員会は、10月から始まった反体制派の抗議が広範囲に広がったことに対してマルテリー大統領が打った対策でした。,该委员会是马尔泰利 (Martelly) 对始于 10 月份的大规模反政府抗议活动做出的回应。,This committee was a measure taken by President Martelly in response to the widespread expansion of protests by the anti-establishment movement that began in October.,0.2822
ときには暴力的になるこの抗議行動は、予定されていた選挙が実施されなかったことが引き金となって、2011年以降に発生しました。,自 2011 年以来，由于一些选举未能如期举行而引发了这些抗议活动，有时抗议还会升级为暴力事件。,"This violent protest, which sometimes turns violent, occurred since 2011 due to the absence of the scheduled election.",0.2467
故障したiPodが発熱する問題が約60件も報告されており、合計6件の火災が発生し、4人が軽度の火傷を負いました。,据报道，大约有 60 起 iPod 发生故障、机身过热的情况，共造成 6 起火灾，4 人轻微烧伤。,"Approximately 60 reports have been made of the problem where a malfunctioning iPod heats up, resulting in a total of 6 fires and 4 people suffering from minor burns.",0.2938
日本の経済産業省は、同機器に関連した事故が27件発生していることを把握していると発表しました。,日本经济产业省 (METI) 表示，他们已经注意到有 27 起事故与该设备有关。,"The Japan Ministry of Economy, Trade and Industry announced that it has identified 27 accidents related to this equipment.",0.2566
先週、経済産業省は、Appleが「深刻ではない」とする過熱事故を追加で34件報告したと発表しました。,上周，日本经济产业省 (METI) 宣布，苹果公司向该部门通报另外 34 起过热造成的事故，尽管该公司称这些事故“并不严重”。,"Last week, the Ministry of Economy, Trade and Industry announced that Apple had reported an additional 34 overheating incidents, which it stated were “not serious”.",0.2842
同省は、Appleの報告延期について「本当に遺憾だ」と語ることで対応した。,经济产业省回应称，苹果推迟发布报告“非常令人遗憾”。,The province responded by saying “It’s really regrettable” regarding Apple’s delayed report.,0.2533
この地震は、現地時間午前7時19分（金曜日午後9時19分GMT）にマリアナを襲いました。,马里亚纳群岛于当地时间早上 7 点 19 分（格林尼治时间周五晚上 9 点 19 分）发生地震。,The earthquake struck Mariana at 7:19 a.m. local time (9:19 p.m. GMT on Friday).,0.2638
北マリアナ諸島の危機管理室（EMO）によると、全国的に被害は報告されていないとのことです。,北马里亚纳应急管理办公室表示，据报告国内没有造成灾害损失。,"According to the Pacific Islands Emergency Management Office (EMO) in North Mariana Islands, no damage has been reported nationwide.",0.3275
太平洋津波警報センターによれば、津波の兆候はないとのことでした。,而且太平洋海啸预警中心（Also the Pacific Tsunami Warning Center）也表示并未发现海啸迹象。,"According to the Pacific Tsunami Warning Center, no signs of a tsunami have been observed.",0.2373
フィリピンの首都マニラでフィリピン人の元警官がバスをハイジャックして香港の観光客を人質にしています。,菲律宾一名前警察在首都马尼拉劫持旅游大巴，将车上的香港游客作为人质。,"In Manila, the capital of Philippines, a former Philippine police officer hijacked a bus and took Hong Kong tourists as hostages.",0.2621
ロランド・メンドーサはM16ライフルで観光客に発砲しました。,罗兰多·门多萨 (Rolando Mendoza) 架起他的 M16 步枪对游客扫射。,Lorland Mendosa shot tourists with an M16 rifle.,0.2151
何人もの人質が救出されましたが、これまでに少なくとも6人の死亡が確認されています。,多名人质获救，目前至少有六名人质确认遇难。,"Many hostages were rescued, but at least 6 people have been confirmed to be dead so far.",0.2516
子供と高齢者を含めた人質6名が早期に解放され、フィリピン人の写真家たちも同じく解放されました。,六名人质（包括儿童和老人在内）以及那些菲律宾摄影师被提前释放。,"Six hostages, including children and elderly people, were released early, and Filipino photographers were also released.",0.2418
写真家たちはご不浄に行きたがった高齢の女性の身代わりとなった。メンドーサ容疑者は銃殺された。,两位摄影师其后顶替一位需要上洗手间的老妇。门多萨则被击毙。,The photographers became the proxies of the elderly woman who wanted to go to a dirty place. The suspect Mendosa was executed by gunshot.,0.2702
リギンズは父親の跡を継いで医学の道に進みました。,利金斯 (Liggins) 追随父亲的脚步，开始了从医生涯。,Liggins followed his father’s footsteps and pursued a career in medicine.,0.2273
彼は産科医として研修を受け、1959年にオークランドの国立女性病院で働き始めました。,他接受过产科医生培训，从 1959 年开始在奥克兰国家妇女医院工作。,He received training as a obstetrician and began working at the National Women’s Hospital in Auckland in 1959.,0.2603
その病院に勤務しながら、リギンズは余暇を利用して早産についての研究を始めました。,利金斯 (Liggins) 在医院工作时，开始在业余时间研究早产。,"While working at that hospital, Riggins used his free time to begin research on premature birth.",0.2395
ホルモンを投与すると胎児の肺の成熟が早まることが彼の研究でわかりました。,他的研究表明，施用激素可加速宝宝胎肺的成熟。,His research showed that hormone administration accelerates the maturation of the fetal lungs.,0.2225
新華社は、政府の調査員が水曜日に「ブラックボックス」のフライトレコーダー2台を回収したと報じました。,新华社报道称，政府调查人员周三发现了两个“黑匣子”飞行记录仪。,Xinhua News Agency reported that government investigators recovered two “black box” flight recorders on Wednesday.,0.2449
仲間のレスラーたちもルナに敬意を表しました。,其他摔跤选手也纷纷悼念露娜 (Luna) 。,The teammates' wrestlers also paid respect to Luna.,0.227
トミー・ドリーマーは「ルナは初代クイーン・オブ・エクストリームでした。私の最初のマネージャーでもありました。ルナは月が2つ出た夜に亡くなりました。彼女と同じようにかなりユニークな夜でした。強い女性でした。」と語っています。,汤米·追梦儿说：“露娜是首位至尊女王，我的第一任经理人。露娜在双月之夜去世。这样的夜晚就像她本人一样特别。她是个坚强的女人。”,"Tommy Driemer said, “Luna was the first Queen of Extreme. She was also my first manager. Luna passed away on a night when two moons appeared. It was a very unique night, just like hers. She was a strong woman.”",0.3552
ダスティン・「ゴールドダスト」・ラネルズは、「ルナは俺と同じくらい異常だった…あるいはそれ以上だったかも...彼女を愛しているし、彼女がいなくて寂しくなるよ…叶うならば、彼女には天国にいてほしい」とコメントしました。,达斯汀·鲁内尔斯（Dustin Runnels，外号“金沙”）评论说：“卢娜和我一样难以捉摸……她可能要更难摸透……我爱她，也会想她……希望她去到了更好的地方。”,"Dustin “Gold Dust” Lanelles said, “Luna was as abnormal as me… or maybe even more so… I love her, and it’s sad when she’s not here… If possible, I hope she’s in heaven.”",0.3579
2010年の連邦選挙に先立って実施された1400人の世論調査では、オーストラリアの共和国化に反対する人は2008年よりも8%増加しました。,"在 2010 年联邦大选之前曾对 1,400 名受访者做过调查，受访者中反对澳大利亚成为共和国的人数自 2008 年以来增长了 8%。","In a survey of 1,400 people conducted before the 2010 federal elections, those who opposed Australia’s republication increased by 8% compared to 2008.",0.3039
ジュリア・ギラード暫定首相は、2010年の連邦選挙での選挙戦で、エリザベス2世女王の治世が終われば、オーストラリアは共和制に移行するべきだと主張しました。,看守总理朱莉娅·吉拉德在2010年联邦大选竞选期间称，她认为在女王伊丽莎白二世退位后，澳大利亚应该成为共和国。,"The interim Prime Minister, Julia Gillard, stated during the 2010 federal election campaign that once Queen Elizabeth II’s reign ended, Australia should transition to a republic.",0.3087
世論調査では34%の人がこの意見に賛成しており、エリザベス女王2世がオーストラリア最後の君主であることを望んでいます。,34% 的受访者一致表示，希望英国女王伊丽莎白二世成为澳大利亚的最后一任君主。,"In the public opinion poll, 34% of people agree with this view, and they hope that Queen Elizabeth II will be Australia’s last monarch.",0.3273
世論調査では、オーストラリアはできるだけ早く共和国になるべきだと考えている人が29%、共和国になるべきではないと考えている人が31%と、両極端の結果が出ています。,投票存在两极分化的情况，29% 的受访者认为澳大利亚应该尽快成立共和国，31% 的人则认为澳大利亚永远不应该成立共和国。,"In the public opinion survey, 29% believe Australia should become a republic as soon as possible, while 31% believe it should not become a republic—showing two extreme outcomes.",0.3127
そのオリンピック金メダリストは、コモンウェルスゲームで100mと200m自由形と3つのリレーで泳ぐ予定でしたが、本人が訴えた症状から健康状態が疑われています。,这位奥运会金牌得主本应参加 100 米和 200 米自由泳和英联邦运动会的三项接力赛，但由于他的抱怨，他的健康状况一直受到质疑。,"The Olympic gold medalist was scheduled to compete in the 100m and 200m freestyle and three relay events at the Commonwealth Games, but her health condition is suspected based on the symptoms she reported.",0.3221
痛みを抑えるのに必要な薬がその大会で禁止されているため、彼は服用できませんでした。,他一直无法用药物来缓解疼痛，因为比赛禁止参赛者服用这些药物。,"Since the medicine needed to relieve the pain is prohibited at that competition, he was unable to take it.",0.2419
セントラルミズーリ大学の数学者でコンピュータサイエンスのカーティス・クーパー教授は1月25日、これまでに知られている素数の中で最大の素数を発見した。,中央密苏里大学 (University of Central Missouri) 的数学家、计算机科学教授柯蒂斯·库珀 (Curtis Cooper) 于 1 月 25 日发现了迄今为止最大的已知素数。,"Professor Curtis Cooper, a mathematician at Central Michigan University and professor of computer science, discovered the largest known prime number on January 25.",0.3026
この発見は、2月初旬までに数人が異なるハードウェアとソフトウェアを使用して検証し、火曜日に発表されました。,二月初，几个人用不同的硬件和软件验证了这一发现，并在周二宣布。,"This discovery was announced on Tuesday, after several people tested it using different hardware and software by early February.",0.2509
彗星は、タンパク質を形成し、生命を支える有機物を運び、地球への水の供給源であった可能性があります。,彗星可能是地球上的水和有机物的来源，这些有机物可以形成蛋白质并维持生命的存续。,"Comets may have formed proteins and carried organic substances that support life, and could have been a source of water for Earth.",0.3379
科学者たちは、はるか昔に彗星が地球と衝突して以来、どのように惑星が形成され、特に地球がどのように形成されたかを理解したいと考えています。,科学家希望了解自从彗星很久以前与地球相撞以来，行星是如何形成的，尤其是地球的形成方式。,"The scientists want to understand how planets were formed, especially how Earth was formed, since comets collided with Earth long ago.",0.2625
今年初めに知事職に就き、先月、同性婚を合法化する法案に署名したクオモ氏、53歳。,现年 53 岁的库莫（Cuomo）从今年年初开始担任州长，并于上个月签署了一项将同性婚姻合法化的法案。,"At the beginning of this year, he took up the position of governor. Last month, the 53-year-old Koomo signed the bill legalizing same-sex marriage.",0.2955
彼はこの噂を「政治的なおしゃべりと愚かさ」と呼びました。,他把谣言称为“政治碎碎念和愚蠢行为”。,He called this rumor “political chatter and foolishness”.,0.2132
2016年に大統領選に出馬するのではないかと憶測されています。,据推测，他将在 2016 年参加总统竞选。,It is speculated that he may run in the presidential election in 2016.,0.2264
NextGenは、航空機が短距離路線を飛行し、毎年数百万ガロンの燃料を節約し、二酸化炭素の排出量を削減できるようにするシステムだとFAAは主張しています。,美国联邦航空局 (FAA) 称，新一代航空运输系统 (NextGen) 可以使飞机缩短飞行航线，每年节省数百万加仑的燃料，并减少碳排放。,"The FAA claims that NextGen is a system that enables aircraft to fly short-distance routes, saving millions of gallons of fuel each year and reducing carbon dioxide emissions.",0.2829
従来の地上レーダー型技術とは対照的な衛星型技術を採用しており、管制官がより正確に航空機を特定し、より正確な情報を操縦士に提供できるようになっている。,它使用卫星技术，而不是老旧的地面雷达技术，使空中交通管制员能够更精确地定位飞机，并向飞行员提供更准确的信息。,"It uses a satellite-based technology that is distinct from conventional ground-based radar technology, enabling air traffic controllers to identify aircraft more accurately and provide pilots with more precise information.",0.2856
特別な交通機関は設けられておらず、地上の電車はウェンブリーには停車せず、地上に駐車場やパークアンドライド施設はありません。,没有增设额外的交通工具，地上火车在温布利 (Wembley) 也不停站，地上也没有停车场和停车换乘设施。,"No special transportation facilities are available; ground-level trains do not stop in Wembley, and there are no parking lots or park-and-ride facilities on the ground.",0.291
交通手段がないことへの懸念から、チームのサポーターが集まらないまま、閉ざされた会場での試合を余儀なくされる可能性が浮上してきました。,由于担心缺乏交通工具，比赛可能会被迫在没有球队支持者的情况下闭门进行。,"Due to concerns over the lack of transportation options, there is a possibility that matches will be held in a closed venue without any team supporters attending.",0.2795
木曜日に学術雑誌「サイエンス」誌に発表された研究で、エクアドルのガラパゴス諸島で新種の鳥類が生まれていたことが報告されました。,周四，一份发表于《科学》杂志的研究报告称，一种新的鸟类在厄瓜多尔加拉帕戈斯群岛形成。,"In a study published in the academic journal “Science” on Thursday, it was reported that a new species of bird was discovered on the Galapagos Islands in Ecuador.",0.29
米国のプリンストン大学とスウェーデンのウプサラ大学の研究者らは、この新種がわずか2世代で進化したことを報告しましたが、この過程は、固有種のガラパゴスフィンチと移入種のオオサボテンフィンチが交配した繁殖であるため、もっと長い時間がかかると考えられていました。,来自美国普林斯顿大学和瑞典乌普萨拉大学的研究人员报告称，由于当地特有的达尔文雀中的勇地雀和外来的仙人掌大嘴地雀之间的繁殖，这个新物种只进化了两代，尽管人们认为这一过程需要更长的时间。,"Researchers from Princeton University in the US and Uppsala University in Sweden reported that this new species evolved in just two generations. However, it was believed that the process would take much longer because this reproduction involved the mating between the native Galapagos finch and the introduced giant petrel finch.",0.3787
金はあらゆる形状に加工できる金属です。丸めて小さくすることも可能です。,黄金可以加工成各种形状。可以卷曲成微小的形状。,Gold is a metal that can be processed into any shape. It can also be rolled into a small size.,0.2492
引っ張って針金状にして、ねじったり編んだりできます。打ち伸ばすか圧延すれば板状にもなります。,它可以拉成细丝，用于缠绕和编结。也可以捶打或碾成片状。,"It can be pulled and made into a wire-like shape; it can be twisted or woven. If it is stretched or rolled, it can also become a plate-like form.",0.2927
ごく薄く伸ばして他の金属に貼り付けることができます。「彩色写本」と呼ばれる手描きの挿絵の装飾に使用されることもあるほど薄くすることができます。,它可以做得很薄，粘在其他金属上，由于达到如此之薄，有时可以用于装饰被称为“彩饰手抄本”的书本里的手绘图画。,It can be spread very thinly and applied to other metals. It can even be made so thin that it is used for the decoration of hand-drawn illustrations known as “colored manuscripts”.,0.3126
これを化学物質のpHといいます。紫キャベツの絞り汁で試験紙を作ることができます。,这被称为化学物质的 pH 值。你可以使用红甘蓝汁制作指示剂。,This is called the pH of chemical substances. A test paper can be made using the juice from purple cabbage.,0.2573
キャベツの汁は化学物質に反応し、酸性かアルカリ性（塩基性）かによって色が変わります。,卷心菜汁的颜色将根据化学物质的酸碱性发生变化。,"The soup of cabbage reacts with chemical substances, and its color changes depending on whether it is acidic or alkaline.",0.2548
pH レベルは、検査した化学物質に含まれる水素イオン（pHのH）の量で示されます。,pH 值以被测化学品中的氢（pH 中的 H）离子数量表示。,The pH level is indicated by the amount of hydrogen ions (pH’s H) contained in the chemical substance being tested.,0.2658
水素イオンとは、電子を取り除いた陽子のことです（水素原子は陽子と電子が1つずつで構成されているため）。,氢离子是失去了电子的质子（因为氢原子由一个质子和一个电子组成）。,Hydrogen ions are protons that have lost their electrons (since a hydrogen atom is composed of one proton and one electron).,0.2587
乾いた粉を2つ合わせてくるくるとこね回し、清潔な濡れた手でぎゅっと握ります。,搅动两种干粉使其混合，然后用干净的湿手把它们揉成一个球。,"Mix two dry powders together, knead them, and then grip them tightly with clean, wet hands.",0.2494
手についた水分が外側の層と反応し、妙な感触になり、一種の殻のようなものを形成します。,你手上的水分会与外层发生反应，这样会形成一层类似外壳的东西，感觉十分有趣。,"The moisture attached to the hand reacts with the outer layer, creating a strange texture and forming something like a shell.",0.2601
ハラッパーやモヘンジョダロの都市では、下水道が整備され、ほとんどすべての住居に水洗トイレがありました。,哈拉帕 (Harappa) 和摩亨佐-达罗 (Mohenjo-daro) 这两个城市几乎每家每户都有抽水马桶，这些马桶与精密的污水处理系统相连。,"In Harappa and Mohenjo-Daro cities, sewer systems were established, and almost all residences had flush toilets.",0.2513
