Model Name,hy-mt2-1.8b
IP Address/Port,74.2.96.26:32232
Parameters,"temperature=0.7,top_p=0.6,top_k=20,max_tokens=4096,repetition_penalty=1.05"

Input,Expected Output,Actual Output,Time Taken (s)
他要去市场。,He is going to the market.,He is going to the market.,0.2216
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.2118
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.2145
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.2009
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.1944
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.1955
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.2029
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.2016
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.2065
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.209
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.1952
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.1941
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1832
公司投资了新项目。,The company invested in a new project.,The company invested in a new project.,0.2017
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.1969
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1943
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.1981
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.2036
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes to listen to music in his free time.,0.2182
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.2074
她喜欢读书。,She likes reading books.,She likes reading books.,0.1944
她喜欢读书。,She likes reading books.,She likes reading books.,0.1936
法官宣布了判决结果。,The judge announced the verdict.,The judge announced the verdict.,0.1952
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.2114
他要去市场。,He is going to the market.,He is going to the market.,0.1927
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.2
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.2041
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.2017
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.2111
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.209
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.2059
政府颁布了新的政策。,The government issued a new policy.,The government has introduced new policies.,0.2023
政府颁布了新的政策。,The government issued a new policy.,The government has issued new policies.,0.1996
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.2045
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes to listen to music in his free time.,0.212
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.1993
政府颁布了新的政策。,The government issued a new policy.,The government has introduced new policies.,0.2138
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.2023
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2051
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.1923
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.2149
他要去市场。,He is going to the market.,He is going to the market.,0.2034
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.1988
公司投资了新项目。,The company invested in a new project.,The company invested in new projects.,0.2139
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.1975
公司投资了新项目。,The company invested in a new project.,The company invested in a new project.,0.2021
国家促进可持续发展。,The country promotes sustainable development.,The state promotes sustainable development.,0.2
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.1994
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.2171
他要去市场。,He is going to the market.,He is going to the market.,0.1954
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.2002
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.2196
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1856
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.1948
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1988
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.2028
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.1903
国家促进可持续发展。,The country promotes sustainable development.,The state promotes sustainable development.,0.1991
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.1994
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.1964
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.1914
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.1943
警察调查了一起案件。,The police investigated a case.,The police investigated a case.,0.1948
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.209
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.2015
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.1986
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.2192
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.1994
他要去市场。,He is going to the market.,He is going to the market.,0.1951
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1868
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.2082
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1892
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.2097
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.2205
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.1885
公司投资了新项目。,The company invested in a new project.,The company invested in a new project.,0.2037
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1906
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.202
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.1882
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.2065
政府颁布了新的政策。,The government issued a new policy.,The government has issued new policies.,0.1966
我今必须完成我的作业。,I must finish my homework today.,I must finish my homework now.,0.2003
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.2026
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.2002
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.1944
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2077
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.2014
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.2033
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.2005
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.2022
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.2122
国家促进可持续发展。,The country promotes sustainable development.,The state promotes sustainable development.,0.1903
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2052
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.1896
法官宣布了判决结果。,The judge announced the verdict.,The judge announced the verdict.,0.2146
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.1993
她喜欢读书。,She likes reading books.,She likes reading books.,0.1943
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.1954
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1898
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.2036
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.2377
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.1899
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.2024
他要去市场。,He is going to the market.,He is going to the market.,0.1986
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.1946
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes listening to music in his free time.,0.2065
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.205
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes listening to music in his free time.,0.2136
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.2014
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.1954
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.1934
她喜欢读书。,She likes reading books.,She likes reading books.,0.1975
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.1874
国家促进可持续发展。,The country promotes sustainable development.,The state promotes sustainable development.,0.2056
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.195
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2039
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.1951
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.2018
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.229
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.1991
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.2055
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.1913
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.2185
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.197
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.1944
国家促进可持续发展。,The country promotes sustainable development.,The state promotes sustainable development.,0.1934
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.1994
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.2004
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.2369
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.2174
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.1961
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.1869
公司投资了新项目。,The company invested in a new project.,The company invested in new projects.,0.2049
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.2089
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.1923
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.1993
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.1977
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.1873
公司投资了新项目。,The company invested in a new project.,The company invested in a new project.,0.203
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.1877
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.2016
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.1905
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2078
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.2015
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.1971
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.2007
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.1988
今天天气很好。,The weather is nice today.,The weather is very good today.,0.2063
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.2034
国家促进可持续发展。,The country promotes sustainable development.,The state promotes sustainable development.,0.1904
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.192
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.1848
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1952
他要去市场。,He is going to the market.,He is going to the market.,0.2079
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.2054
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.1931
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.1952
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.1949
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.1914
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.1922
政府颁布了新的政策。,The government issued a new policy.,The government has introduced new policies.,0.1918
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.1885
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.1972
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1922
我今必须完成我的作业。,I must finish my homework today.,I must finish my homework now.,0.1904
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.187
今天天气很好。,The weather is nice today.,The weather is very good today.,0.2035
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.1946
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.1949
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.1955
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.1934
公司投资了新项目。,The company invested in a new project.,The company invested in a new project.,0.2213
警察调查了一起案件。,The police investigated a case.,The police investigated a case.,0.1859
警察调查了一起案件。,The police investigated a case.,The police investigated a case.,0.19
我今必须完成我的作业。,I must finish my homework today.,I must finish my homework now.,0.1903
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes listening to music in his free time.,0.2442
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.2035
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.211
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1906
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.186
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.1907
她喜欢读书。,She likes reading books.,She likes reading books.,0.2454
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.1951
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes to listen to music in his free time.,0.2206
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1981
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.1937
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.2222
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.1895
法官宣布了判决结果。,The judge announced the verdict.,The judge announced the verdict.,0.2026
警察调查了一起案件。,The police investigated a case.,The police investigated a case.,0.2072
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.2116
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.2048
警察调查了一起案件。,The police investigated a case.,The police investigated a case.,0.2054
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.2023
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.1855
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.1986
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.1913
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.2078
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.1955
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.1898
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.2024
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.1988
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.1973
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.2133
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.1984
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.2042
今天天气很好。,The weather is nice today.,The weather is very good today.,0.2005
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.1989
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.1915
法官宣布了判决结果。,The judge announced the verdict.,The judge announced the verdict.,0.2013
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.1995
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.1977
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.1989
政府颁布了新的政策。,The government issued a new policy.,The government has issued new policies.,0.2067
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.1953
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2089
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.2276
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.1995
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.214
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.1891
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.2017
政府颁布了新的政策。,The government issued a new policy.,The government has issued new policies.,0.2017
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.21
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2148
公司投资了新项目。,The company invested in a new project.,The company invested in new projects.,0.1986
国家促进可持续发展。,The country promotes sustainable development.,The state promotes sustainable development.,0.1952
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.1904
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.1943
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2072
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.1879
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes to listen to music in his free time.,0.2205
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.1945
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.207
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.1873
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.1956
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.2087
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.1991
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2055
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.2004
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.1868
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.1988
公司投资了新项目。,The company invested in a new project.,The company invested in new projects.,0.2198
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.1955
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.1911
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.2045
公司投资了新项目。,The company invested in a new project.,The company invested in a new project.,0.2016
公司投资了新项目。,The company invested in a new project.,The company invested in new projects.,0.1984
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.1993
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.2015
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.1943
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.2173
今天天气很好。,The weather is nice today.,The weather is very good today.,0.1896
公司投资了新项目。,The company invested in a new project.,The company invested in a new project.,0.2066
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.1912
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.1917
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.1992
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.1986
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.2085
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.1995
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.1924
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.2017
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes listening to music in his free time.,0.2061
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.2083
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2064
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.1963
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.2027
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.2007
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.1974
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.2003
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.2065
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.1935
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.2034
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.2004
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.2043
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.1936
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.1934
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.2126
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.1985
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.196
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.2129
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.2059
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.2056
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.2032
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.2029
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.1969
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.1954
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.2083
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.194
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.1944
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.2138
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2043
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.2153
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes to listen to music in his free time.,0.2173
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.1958
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.1901
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.1974
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2078
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.1958
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.1963
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.1888
她喜欢读书。,She likes reading books.,She likes reading books.,0.2011
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.2083
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.1985
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.1994
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1956
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.2074
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.2017
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.1971
她喜欢读书。,She likes reading books.,She likes reading books.,0.1936
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.1996
国家促进可持续发展。,The country promotes sustainable development.,The state promotes sustainable development.,0.209
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.2045
警察调查了一起案件。,The police investigated a case.,The police investigated a case.,0.2102
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes listening to music in his free time.,0.2138
今天天气很好。,The weather is nice today.,The weather is very good today.,0.1961
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1905
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.1902
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.2024
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.2003
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.1974
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.1905
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.2045
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.2034
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.1889
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes listening to music in his free time.,0.2091
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.2034
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.1924
她喜欢读书。,She likes reading books.,She likes reading books.,0.2033
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2046
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.1976
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.1929
他要去市场。,He is going to the market.,He is going to the market.,0.2006
国家促进可持续发展。,The country promotes sustainable development.,The state promotes sustainable development.,0.2019
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.1892
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1937
